Board Game Rank,Title,URL,Geek Rating,Avg Rating,Num Voters
26167,Barrel of Monkeys,https://boardgamegeek.com/boardgame/4149/barrel-monkeys,4.900,3.57,879
26168,Roulette,https://boardgamegeek.com/boardgame/15549/roulette,4.836,3.37,888
26169,Game of Goose,https://boardgamegeek.com/boardgame/2785/game-of-goose,4.818,3.50,1009
26170,Pick Up Sticks,https://boardgamegeek.com/boardgame/6424/pick-up-sticks,4.794,4.33,2821
26171,Battle of the Sexes,https://boardgamegeek.com/boardgame/3510/battle-of-the-sexes,4.783,3.50,1163
26172,Twister,https://boardgamegeek.com/boardgame/5894/twister,4.780,4.55,5018
26173,Hi Ho! Cherry-O,https://boardgamegeek.com/boardgame/6932/hi-ho-cherry-o,4.769,3.61,1232
26174,Cootie,https://boardgamegeek.com/boardgame/4378/cootie,4.759,3.39,1052
26175,Battleship,https://boardgamegeek.com/boardgame/2425/battleship,4.759,4.71,10802
26176,Pachisi,https://boardgamegeek.com/boardgame/2136/pachisi,4.705,4.51,5566
26177,Hungry Hungry Hippos,https://boardgamegeek.com/boardgame/5895/hungry-hungry-hippos,4.680,4.13,2910
26178,Sorry!,https://boardgamegeek.com/boardgame/2407/sorry,4.680,4.54,6928
26179,The Oregon Trail Card Game,https://boardgamegeek.com/boardgame/205322/oregon-trail-card-game,4.631,4.21,3584
26180,Old Maid,https://boardgamegeek.com/boardgame/10799/old-maid,4.631,3.68,1770
26181,Mouse Trap,https://boardgamegeek.com/boardgame/2679/mouse-trap,4.630,4.13,3200
26182,Go Fish,https://boardgamegeek.com/boardgame/7682/go-fish,4.608,3.66,1847
26183,Operation,https://boardgamegeek.com/boardgame/3737/operation,4.540,4.15,4465
26184,LCR,https://boardgamegeek.com/boardgame/3522/lcr,4.485,3.64,2287
26185,The Game of Life,https://boardgamegeek.com/boardgame/2921/game-of-life,4.357,4.34,13014
26186,Trouble,https://boardgamegeek.com/boardgame/1410/trouble,4.333,3.84,4110
26187,Monopoly,https://boardgamegeek.com/boardgame/1406/monopoly,4.287,4.36,35733
26188,War,https://boardgamegeek.com/boardgame/16398/war,4.055,2.37,1671
26189,Bingo,https://boardgamegeek.com/boardgame/7316/bingo,4.052,2.99,2673
26190,Candy Land,https://boardgamegeek.com/boardgame/5048/candy-land,3.838,3.20,4864
26191,Chutes and Ladders,https://boardgamegeek.com/boardgame/5432/chutes-and-ladders,3.662,2.91,4679
26192,Tic-Tac-Toe,https://boardgamegeek.com/boardgame/11901/tic-tac-toe,3.648,2.74,3930
N/A,The Garden Game,https://boardgamegeek.com/boardgame/65/garden-game,N/A,4.16,28
N/A,VolgaFront: East of EastFront 1942-43,https://boardgamegeek.com/boardgameexpansion/80/volgafront-east-eastfront-1942-43,5.563,7.58,69
N/A,"EuroFront: War in Europe, 1939-45",https://boardgamegeek.com/boardgameexpansion/81/eurofront-war-europe-1939-45,5.564,7.08,96
N/A,Peaceful Resistance,https://boardgamegeek.com/boardgame/107/peaceful-resistance,N/A,5.72,17
N/A,Green Thumb Cards,https://boardgamegeek.com/boardgame/123/green-thumb-cards,N/A,7.31,29
N/A,Wortelboer,https://boardgamegeek.com/boardgame/143/wortelboer,N/A,4.19,16
N/A,Elfengold,https://boardgamegeek.com/boardgameexpansion/158/elfengold,5.851,6.94,660
N/A,Advanced Civilization,https://boardgamegeek.com/boardgameexpansion/177/advanced-civilization,6.992,8.01,3350
N/A,Skworms,https://boardgamegeek.com/boardgame/203/skworms,N/A,4.00,7
N/A,Knightmare Chess,https://boardgamegeek.com/boardgameexpansion/227/knightmare-chess,5.859,6.44,1386
N/A,Die Siedler von Catan: Historische Szenarien,https://boardgamegeek.com/boardgameexpansion/306/die-siedler-von-catan-historische-szenarien,5.837,6.51,1079
N/A,Looney Leo,https://boardgamegeek.com/boardgame/318/looney-leo,N/A,8.00,1
N/A,CATAN: Seafarers,https://boardgamegeek.com/boardgameexpansion/325/catan-seafarers,6.912,7.15,19441
N/A,El Grande: König & Intrigant,https://boardgamegeek.com/boardgameexpansion/370/el-grande-konig-intrigant,5.971,7.43,675
N/A,Neighbors,https://boardgamegeek.com/boardgame/377/neighbors,N/A,1.80,5
N/A,Bohnanza: La Isla Bohnitâ,https://boardgamegeek.com/boardgameexpansion/453/bohnanza-la-isla-bohnita,5.593,5.85,761
N/A,Bohnanza Erweiterungs-Set,https://boardgamegeek.com/boardgameexpansion/467/bohnanza-erweiterungs-set,5.948,7.04,866
N/A,Dump,https://boardgamegeek.com/boardgame/468/dump,N/A,5.50,2
N/A,Age of Arguments,https://boardgamegeek.com/boardgame/480/age-arguments,N/A,5.57,14
N/A,Sufferin' Spirits,https://boardgamegeek.com/boardgame/498/sufferin-spirits,N/A,5.70,22
N/A,Bretonenboule,https://boardgamegeek.com/boardgame/502/bretonenboule,N/A,6.65,17
N/A,Shark Bait,https://boardgamegeek.com/boardgame/517/shark-bait,N/A,5.14,7
N/A,Cat vs. Mouse,https://boardgamegeek.com/boardgame/518/cat-vs-mouse,N/A,6.14,7
N/A,Ice Blocks,https://boardgamegeek.com/boardgame/537/ice-blocks,N/A,5.13,15
N/A,Quartier Latin,https://boardgamegeek.com/boardgame/567/quartier-latin,N/A,5.50,18
N/A,Terrain Game,https://boardgamegeek.com/boardgame/570/terrain-game,N/A,5.31,16
N/A,Illuminati: Y2K,https://boardgamegeek.com/boardgameexpansion/576/illuminati-y2k,5.803,7.00,619
N/A,Protzen,https://boardgamegeek.com/boardgame/578/protzen,N/A,4.43,20
N/A,Field of Fire,https://boardgamegeek.com/boardgame/579/field-fire,N/A,5.50,2
N/A,The El Grande Expansions,https://boardgamegeek.com/boardgameexpansion/583/el-grande-expansions,5.915,7.35,617
N/A,Sumera,https://boardgamegeek.com/boardgame/587/sumera,N/A,6.24,29
N/A,Trolley Car,https://boardgamegeek.com/boardgame/596/trolley-car,N/A,6.03,7
N/A,El Grande: Grandissimo,https://boardgamegeek.com/boardgameexpansion/597/el-grande-grandissimo,5.693,6.92,327
N/A,Stack 21,https://boardgamegeek.com/boardgame/599/stack-21,N/A,3.60,10
N/A,Ferkelei,https://boardgamegeek.com/boardgame/609/ferkelei,N/A,5.67,29
N/A,Cube Fusion,https://boardgamegeek.com/boardgame/615/cube-fusion,N/A,5.42,18
N/A,What's That on My Head?,https://boardgamegeek.com/boardgame/616/whats-my-head,N/A,6.75,20
N/A,Change!,https://boardgamegeek.com/boardgame/622/change,5.482,5.28,163
N/A,Blindside,https://boardgamegeek.com/boardgame/636/blindside,N/A,6.31,19
N/A,Shift,https://boardgamegeek.com/boardgame/664/shift,N/A,4.40,5
N/A,Refugium,https://boardgamegeek.com/boardgame/667/refugium,N/A,5.83,6
N/A,X-it!,https://boardgamegeek.com/boardgame/678/x-it,N/A,4.26,5
N/A,Timeline,https://boardgamegeek.com/boardgame/683/timeline,N/A,6.39,9
N/A,Dubble Kross,https://boardgamegeek.com/boardgame/689/dubble-kross,N/A,8.00,1
N/A,Over the Edge,https://boardgamegeek.com/boardgame/722/over-edge,N/A,5.96,11
N/A,Triple Threat Baseball!,https://boardgamegeek.com/boardgame/725/triple-threat-baseball,N/A,6.25,8
N/A,Don't Make Me Laugh,https://boardgamegeek.com/boardgame/732/dont-make-me-laugh,N/A,3.63,26
N/A,Don't Make Me Laugh Jr.,https://boardgamegeek.com/boardgame/733/dont-make-me-laugh-jr,N/A,3.65,10
N/A,Strange But True?,https://boardgamegeek.com/boardgame/734/strange-true,N/A,4.16,9
N/A,Hollywood's Reel Schpeel,https://boardgamegeek.com/boardgame/735/hollywoods-reel-schpeel,N/A,5.80,5
N/A,Matheeno,https://boardgamegeek.com/boardgame/738/matheeno,N/A,3.00,2
N/A,Ultimate Soccer of America,https://boardgamegeek.com/boardgame/739/ultimate-soccer-america,N/A,2.00,2
N/A,Wicked Words,https://boardgamegeek.com/boardgame/744/wicked-words,N/A,5.83,9
N/A,Dutch Mountains,https://boardgamegeek.com/boardgame/749/dutch-mountains,N/A,5.19,24
N/A,Shocks & Scares,https://boardgamegeek.com/boardgame/750/shocks-scares,N/A,5.84,17
N/A,Balmy Balloonists,https://boardgamegeek.com/boardgame/758/balmy-balloonists,N/A,5.67,28
N/A,Buddel Bande,https://boardgamegeek.com/boardgame/774/buddel-bande,N/A,5.75,20
N/A,Auction America: The Trivia Game for Any Collector,https://boardgamegeek.com/boardgame/778/auction-america-trivia-game-any-collector,N/A,4.50,2
N/A,Big Battle,https://boardgamegeek.com/boardgame/780/big-battle,N/A,5.97,4
N/A,Camlyn's Destiny,https://boardgamegeek.com/boardgame/800/camlyns-destiny,N/A,5.12,17
N/A,FIB-OR-NOT?,https://boardgamegeek.com/boardgame/830/fib-or-not,N/A,4.73,11
N/A,Atlantis,https://boardgamegeek.com/boardgame/868/atlantis,N/A,6.31,13
N/A,Pythago,https://boardgamegeek.com/boardgame/874/pythago,N/A,4.68,17
N/A,Ad Mania,https://boardgamegeek.com/boardgame/892/ad-mania,N/A,4.33,6
N/A,Smuggle,https://boardgamegeek.com/boardgame/893/smuggle,N/A,4.83,6
N/A,LifeLinks,https://boardgamegeek.com/boardgame/894/lifelinks,N/A,5.50,2
N/A,Stir Crazy,https://boardgamegeek.com/boardgame/896/stir-crazy,N/A,7.29,7
N/A,Dear Abby,https://boardgamegeek.com/boardgame/897/dear-abby,N/A,3.50,2
N/A,Initial Reaction,https://boardgamegeek.com/boardgame/898/initial-reaction,N/A,5.58,18
N/A,Beheaded,https://boardgamegeek.com/boardgame/907/beheaded,N/A,5.25,4
N/A,High Bohn,https://boardgamegeek.com/boardgameexpansion/913/high-bohn,5.674,6.63,378
N/A,CATAN: Cities & Knights,https://boardgamegeek.com/boardgameexpansion/926/catan-cities-knights,7.160,7.45,20022
N/A,Nametrain,https://boardgamegeek.com/boardgame/945/nametrain,N/A,4.93,7
N/A,Rolazone,https://boardgamegeek.com/boardgame/946/rolazone,N/A,N/A,N/A
N/A,Grapple,https://boardgamegeek.com/boardgame/960/grapple,N/A,5.00,2
N/A,ZOKI,https://boardgamegeek.com/boardgame/961/zoki,N/A,5.21,21
N/A,Contango,https://boardgamegeek.com/boardgame/962/contango,N/A,N/A,N/A
N/A,Kommissar X,https://boardgamegeek.com/boardgame/967/kommissar-x,N/A,4.94,26
N/A,Seven Deadly Sins,https://boardgamegeek.com/boardgame/972/seven-deadly-sins,N/A,4.29,7
N/A,Corner the Market,https://boardgamegeek.com/boardgame/985/corner-market,N/A,4.38,8
N/A,Auf Trab im Sulkydrom,https://boardgamegeek.com/boardgame/994/auf-trab-im-sulkydrom,N/A,5.20,13
N/A,Svea Rike: Batalj,https://boardgamegeek.com/boardgameexpansion/995/svea-rike-batalj,5.484,5.18,96
N/A,Der Tiger ist los,https://boardgamegeek.com/boardgame/1005/der-tiger-ist-los,N/A,5.47,17
N/A,Diver,https://boardgamegeek.com/boardgame/1010/diver,N/A,4.33,12
N/A,Finger weg von Mona Lisa,https://boardgamegeek.com/boardgame/1015/finger-weg-von-mona-lisa,N/A,6.62,12
N/A,Finito,https://boardgamegeek.com/boardgame/1016/finito,N/A,5.52,26
N/A,Galaxis,https://boardgamegeek.com/boardgame/1018/galaxis,N/A,5.77,28
N/A,Canyon: Grand Canyon,https://boardgamegeek.com/boardgameexpansion/1020/canyon-grand-canyon,5.547,6.42,109
N/A,Harun,https://boardgamegeek.com/boardgame/1021/harun,N/A,6.75,8
N/A,Himalaya,https://boardgamegeek.com/boardgame/1023/himalaya,N/A,5.55,13
N/A,Max.X,https://boardgamegeek.com/boardgame/1046/maxx,N/A,6.16,25
N/A,Momo,https://boardgamegeek.com/boardgame/1050/momo,N/A,6.64,7
N/A,Mutternland,https://boardgamegeek.com/boardgame/1051/mutternland,N/A,7.34,22
N/A,Paule Panik,https://boardgamegeek.com/boardgame/1055/paule-panik,N/A,5.55,10
N/A,Pow Wow,https://boardgamegeek.com/boardgame/1057/pow-wow,N/A,5.67,20
N/A,Rockets,https://boardgamegeek.com/boardgame/1058/rockets,N/A,4.74,17
N/A,Sansibar,https://boardgamegeek.com/boardgame/1061/sansibar,N/A,5.23,24
N/A,Ordino,https://boardgamegeek.com/boardgame/1068/ordino,N/A,6.00,3
N/A,Head Quarter,https://boardgamegeek.com/boardgame/1069/head-quarter,N/A,6.21,25
N/A,Big Bang,https://boardgamegeek.com/boardgame/1075/big-bang,N/A,7.00,8
N/A,Evolution,https://boardgamegeek.com/boardgame/1080/evolution,N/A,6.34,9
N/A,Hexenjagd,https://boardgamegeek.com/boardgame/1083/hexenjagd,N/A,4.17,6
N/A,Kaminett,https://boardgamegeek.com/boardgame/1085/kaminett,N/A,5.33,3
N/A,Der Schatz der Erdgeister,https://boardgamegeek.com/boardgame/1086/der-schatz-der-erdgeister,N/A,4.80,10
N/A,Luftschlösser,https://boardgamegeek.com/boardgame/1088/luftschlosser,N/A,5.23,11
N/A,Feuer und Wasser,https://boardgamegeek.com/boardgame/1089/feuer-und-wasser,N/A,5.78,9
N/A,Die Goldene Eins,https://boardgamegeek.com/boardgame/1092/die-goldene-eins,N/A,4.95,11
N/A,Don't Give Up Your Day Job!,https://boardgamegeek.com/boardgame/1097/dont-give-your-day-job,N/A,N/A,N/A
N/A,Check the Ripper,https://boardgamegeek.com/boardgame/1100/check-ripper,N/A,4.65,24
N/A,Kiezkönig,https://boardgamegeek.com/boardgame/1104/kiezkonig,N/A,3.00,7
N/A,Botany Bay,https://boardgamegeek.com/boardgame/1114/botany-bay,N/A,4.33,3
N/A,Archimedes,https://boardgamegeek.com/boardgame/1129/archimedes,N/A,5.88,16
N/A,Road Warrior,https://boardgamegeek.com/boardgame/1134/road-warrior,N/A,4.34,12
N/A,Quest For Power,https://boardgamegeek.com/boardgame/1135/quest-power,N/A,3.14,7
N/A,Die Siedler von Catan: Das Buch zum Spielen,https://boardgamegeek.com/boardgameexpansion/1137/die-siedler-von-catan-das-buch-zum-spielen,5.947,7.27,727
N/A,Fantastische Ballonreise,https://boardgamegeek.com/boardgame/1139/fantastische-ballonreise,N/A,3.50,4
N/A,Pass the Gas,https://boardgamegeek.com/boardgame/1141/pass-gas,N/A,6.10,5
N/A,"Money, Power, Respect",https://boardgamegeek.com/boardgame/1151/money-power-respect,N/A,N/A,N/A
N/A,Nuts! To You,https://boardgamegeek.com/boardgame/1154/nuts-you,N/A,N/A,N/A
