bgg_id,publisher
43,Mr. B Games
43,Outset Media
43,Paul Lamond Games Ltd
43,Planet Finska
43,Pressman Toy Corp.
43,"Reveal Entertainment, Inc."
43,Spin Master Ltd.
43,The Op
43,University Games
43,Walt Disney Productions
43,Zygomatic
43,Low-Exp Publisher
44,ABACUSSPIELE
44,Rio Grande Games
44,AMIGO
44,PaperGames (III)
44,Asmodee
44,Devil Dice Games
44,Grail Games
44,Lui-même
45,Ravensburger
45,alea
45,Competo / Marektoy
45,Filosofia Éditions
45,(Unknown)
45,Heidelberger Spieleverlag
45,Z-Man Games
45,Mandoo Games
45,Quined White Goblin Games
45,Siam Board Games
46,999 Games
46,TM Spiele
46,Low-Exp Publisher
47,ABACUSSPIELE
47,"Korea Boardgames Co., Ltd."
47,Rio Grande Games
47,PS-Games
47,Brain Games
47,G3
47,Kaissa Chess & Games
47,Lifestyle Boardgames Ltd
47,Möbius Games
47,"Swan Panasia Co., Ltd."
47,Vennerød Forlag AS
47,Oya
47,HomoLudicus
47,Red Glove
47,cutia.ro
47,dV Giochi
48,999 Games
48,Galakta
48,"Korea Boardgames Co., Ltd."
48,Lautapelit.fi
48,Rio Grande Games
48,KOSMOS
48,Albi
48,Midgaard Games
48,Kaissa Chess & Games
48,Piatnik
48,"Swan Panasia Co., Ltd."
48,Competo / Marektoy
48,Devir
48,Filosofia Éditions
48,Laser plus
48,Stupor Mundi
48,Tilsit
48,Group SNE
48,IELLO
48,Land of Beautiful Mind (سرزمین ذهن زیبا)
48,Playhouse Ltd
48,Zvezda
48,Low-Exp Publisher
49,Hans im Glück
49,ABACUSSPIELE
49,"Korea Boardgames Co., Ltd."
49,Rio Grande Games
49,"Swan Panasia Co., Ltd."
49,Devir
49,Oya
49,Z-Man Games
49,Gém Klub Kft.
49,Happy Baobab
49,MS Edizioni
49,Low-Exp Publisher
50,Games Workshop Ltd.
51,Fanfor-Verlag
52,YOKA Games
52,ABACUSSPIELE
52,Rio Grande Games
52,Ravensburger
52,Maldito Games
52,Siam Board Games
52,dV Giochi
52,Zvezda
52,Gém Klub Kft.
52,Conclave Editora
52,Egmont Polska
52,Hobby Game Mall
52,Keep Exploring Games
52,Super Meeple
52,Low-Exp Publisher
53,KOSMOS
53,Sophisticated Games
53,Low-Exp Publisher
54,Schmidt Spiele
55,Hobby Japan
55,Games Workshop Ltd.
55,West End Games
55,Pegasus Spiele
55,Z-Man Games
56,KOSMOS
57,Descartes Editeur
58,Rio Grande Games
58,Goldsieber Spiele
59,Games Workshop Ltd.
59,Sfera
60,The Avalon Hill Game Co
60,Battleline
61,Tilsit
61,Truant Spiele
61,Clash of Arms Games
62,Rio Grande Games
62,Goldsieber Spiele
63,(Self-Published)
63,Bütehorn Spiele (Buchholz Verlag)
63,Hexagames (I)
63,Numbskull Games
63,Low-Exp Publisher
64,The Avalon Hill Game Co
64,Low-Exp Publisher
65,Cadaco
65,Low-Exp Publisher
66,999 Games
66,Rio Grande Games
66,Goldsieber Spiele
67,Descartes Editeur
67,The Avalon Hill Game Co
67,Piatnik
67,Welt der Spiele
67,Gibsons
67,Hartland Trefoil Ltd.
67,Joc Internacional
67,Low-Exp Publisher
68,"New Games Order, LLC"
68,Adlung-Spiele
69,Queen Games
69,db-Spiele
70,Mattel
70,Out of the Box Publishing
70,Pegasus Spiele
70,"Beverly Enterprises, Inc."
70,Excalibur Electronics
70,Tactic
70,Low-Exp Publisher
71,Portal Games
71,Cheapass Games
71,Paizo Publishing
71,Titanic Games
72,The Avalon Hill Game Co
73,Columbia Games
74,Columbia Games
75,Columbia Games
76,Columbia Games
77,Columbia Games
78,Columbia Games
78,Low-Exp Publisher
79,Columbia Games
79,Gamma Two Games
80,Tilsit
80,Columbia Games
81,ABACUSSPIELE
81,Rio Grande Games
81,"Swan Panasia Co., Ltd."
81,Ravensburger
81,Devir
81,Tilsit
81,F.X. Schmid
81,HUCH!
81,IDW Games
81,White Goblin Games
