bgg_id,publisher
48,"999 Games, Galakta, Korea Boardgames Co., Ltd., Lautapelit.fi, Rio Grande Games, KOSMOS, Albi, Midgaard Games, Kaissa Chess & Games, Piatnik, Swan Panasia Co., Ltd., Competo / Marektoy, Devir, Filosofia Éditions, Laser plus, Stupor Mundi, Tilsit, Group SNE, IELLO, Land of Beautiful Mind (سرزمین ذهن زیبا), Playhouse Ltd, Zvezda, Low-Exp Publisher"
49,"Hans im Glück, ABACUSSPIELE, Korea Boardgames Co., Ltd., Rio Grande Games, Swan Panasia Co., Ltd., Devir, Oya, Z-Man Games, Gém Klub Kft., Happy Baobab, MS Edizioni, Low-Exp Publisher"
50,Games Workshop Ltd.
51,Fanfor-Verlag
52,"YOKA Games, ABACUSSPIELE, Rio Grande Games, Ravensburger, Maldito Games, Siam Board Games, dV Giochi, Zvezda, Gém Klub Kft., Conclave Editora, Egmont Polska, Hobby Game Mall, Keep Exploring Games, Super Meeple, Low-Exp Publisher"
53,"KOSMOS, Sophisticated Games, Low-Exp Publisher"
54,Schmidt Spiele
55,"Hobby Japan, Games Workshop Ltd., West End Games, Pegasus Spiele, Z-Man Games"
56,KOSMOS
57,Descartes Editeur
58,"Rio Grande Games, Goldsieber Spiele"
59,"Games Workshop Ltd., Sfera"
60,"The Avalon Hill Game Co, Battleline"
61,"Tilsit, Truant Spiele, Clash of Arms Games"
62,"Rio Grande Games, Goldsieber Spiele"
63,"(Self-Published), Bütehorn Spiele (Buchholz Verlag), Hexagames (I), Numbskull Games, Low-Exp Publisher"
64,"The Avalon Hill Game Co, Low-Exp Publisher"
65,"Cadaco, Low-Exp Publisher"
66,"999 Games, Rio Grande Games, Goldsieber Spiele"
67,"Descartes Editeur, The Avalon Hill Game Co, Piatnik, Welt der Spiele, Gibsons, Hartland Trefoil Ltd., Joc Internacional, Low-Exp Publisher"
68,"New Games Order, LLC, Adlung-Spiele"
69,"Queen Games, db-Spiele"
70,"Mattel, Out of the Box Publishing, Pegasus Spiele, Beverly Enterprises, Inc., Excalibur Electronics, Tactic, Low-Exp Publisher"
71,"Portal Games, Cheapass Games, Paizo Publishing, Titanic Games"
72,The Avalon Hill Game Co
73,Columbia Games
74,Columbia Games
75,Columbia Games
76,Columbia Games
77,Columbia Games
78,"Columbia Games, Low-Exp Publisher"
79,"Columbia Games, Gamma Two Games"
80,"Tilsit, Columbia Games"
81,"ABACUSSPIELE, Rio Grande Games, Swan Panasia Co., Ltd., Ravensburger, Devir, Tilsit, F.X. Schmid, HUCH!, IDW Games, White Goblin Games"
82,"GMT Games, Low-Exp Publisher"
83,"Milton Bradley, Hasbro"
84,"Wargames Club Publishing, DiceTree Games, Devir, GMT Games, Udo Grebe Gamedesign, Low-Exp Publisher"
85,"Hans im Glück, 999 Games, Descartes Editeur, Rio Grande Games, Filosofia Éditions, Användbart Litet Företag, Gabinete Lúdico"
86,"999 Games, Rio Grande Games, AMIGO"
87,"University Games, Doris & Frank"
88,"Milton Bradley, Low-Exp Publisher"
89,Milton Bradley
90,"Milton Bradley, Jedko Games, Nova Game Designs, Low-Exp Publisher"
91,Milton Bradley
92,Mayfair Games
93,"Hans im Glück, Rio Grande Games"
94,"Valley Games, Inc., The Avalon Hill Game Co, Heidelberger Spieleverlag, Low-Exp Publisher"
95,Moskito Spiele
96,"Edge Entertainment, Fantasy Flight Games, Hobby Japan, Korea Boardgames Co., Ltd., Lautapelit.fi, The Avalon Hill Game Co, Midgaard Games, Swan Panasia Co., Ltd., Ubik, Altar Games, Delta Vision Publishing, Nexus Editrice"
97,"Edge Entertainment, Kaissa Chess & Games, Pegasus Spiele, Eagle-Gryphon Games, U.S. Games Systems, Inc."
98,"Rio Grande Games, Schmidt Spiele, Don & Co."
99,"KOSMOS, Historien Spiele Galerie (Historien Spielegalerie), Tilsit"
100,"Grow Jogos e Brinquedos, Schmidt Spiele, Ravensburger, F.X. Schmid, Dino Toys s. r. o., REGIO Játék, Vini-Spil, Low-Exp Publisher"
101,"Hasbro, Face2Face Games, Parker Brothers"
102,"Descartes Editeur, Edge Entertainment, Fantasy Flight Games, Galakta, Lautapelit.fi, Hobby World, Giochi Uniti, Eurogames, Ubik, Heidelberger Spieleverlag, Z-Man Games, Arclight, Nexus Editrice, Low-Exp Publisher"
103,"Berliner Spielkarten, BoardM Factory, Playte, 数寄ゲームズ (Suki Games)"
104,(Self-Published)
105,"Edge Entertainment, Korea Boardgames Co., Ltd., Schmidt Spiele, Kaissa Chess & Games, Stratelibri, Swan Panasia Co., Ltd., New Games Order, LLC, Eagle-Gryphon Games, Face2Face Games, Siam Board Games"
106,"PS-Games, AMIGO, Bergsala Enigma (Enigma), Hasbro, Play Factory, Wizards of the Coast, Darwin Project, Halloween Concept"
107,"Rio Grande Games, KOSMOS, Crown & Andrews Ltd., Goliath Games"
108,"Hans im Glück, Lautapelit.fi, Wargames Club Publishing, Kaissa Chess & Games, DiceTree Games, New Games Order, LLC, Mayfair Games, Pegasus Spiele, Galápagos Jogos, Matagot, Land of Beautiful Mind (سرزمین ذهن زیبا), Arrakis Games, Asmodee Italia, CMON Global Limited, GeGe Co. Ltd., Lavka Games, Oink Games, Rebel Sp. z o.o., Low-Exp Publisher"
109,"Hans im Glück, Edge Entertainment, Fantasy Flight Games, Midgaard Games, Swan Panasia Co., Ltd., Bergsala Enigma (Enigma), ADC Blackfire Entertainment, Arclight, cutia.ro, Delta Vision Publishing, Fantasmagoria, MINDOK, Low-Exp Publisher"
110,"The Avalon Hill Game Co, Ravensburger, alea, Überplay, F.X. Schmid, Jumbo, Gibsons, Vini-Spil, G&RRR, MIKA"
111,"Descartes Editeur, Hobby Japan, The Avalon Hill Game Co"
112,"Hans im Glück, AMIGO, Mayfair Games"
113,"Z-Man Games, Doris & Frank"
114,"Rio Grande Games, Wargames Club Publishing, Eagle-Gryphon Games, Group SNE, Egmont Polska, Goldsieber Spiele, TWOPLUS Games, cosaic"
115,"University Games, Upstarts, Winning Moves UK Ltd., Low-Exp Publisher"
116,The Avalon Hill Game Co
117,"Swan Panasia Co., Ltd., DiceTree Games, Ravensburger, F.X. Schmid, Eagle-Gryphon Games, förlAgo AB, Arclight, Cappelen, IELLO, White Goblin Games, Rebel Sp. z o.o., Burley Games, Cranio Creations, Play Smart, Spear's Games, Low-Exp Publisher"
118,Mayfair Games
119,"999 Games, Rio Grande Games, KOSMOS, Kaissa Chess & Games, Filosofia Éditions, Laser plus, Tilsit"
120,2F-Spiele
121,"Rio Grande Games, KOSMOS, Tilsit"
122,"999 Games, Tilsit, Goldsieber Spiele"
123,AMIGO
124,"Giochi Uniti, Piatnik, Ravensburger, Asmodee, danspil, AS Company, Kod Kod, Venice Connection, Jumbo, Pressman Toy Corp., Gibsons, Goliath Games, Peliko, Week End Games, Low-Exp Publisher"
125,"Eon, Hexagames (I)"
126,"Korea Boardgames Co., Ltd., Schmidt Spiele, Fractal Juegos, Kaissa Chess & Games, Hasbro, Crown & Andrews Ltd., Waddingtons, Clipper, Editrice Giochi, Parker Brothers, (Self-Published), Arclight, Spear's Games, Copp Clark Publishing Company, Fundex, Grimaud, Holdson, John Waddington Ltd., Nordic Games GmbH, Repos Production, Russimco Games, Winning Moves Games (USA), Yetem S.A., Low-Exp Publisher"
127,"999 Games, ABACUSSPIELE, Rio Grande Games, Grünspan-Spiele"
128,"Rio Grande Games, Goldsieber Spiele"
129,White Wind
130,"Ravensburger, Otto Maier Verlag"
131,"Wargames Club Publishing, Überplay, Editrice Giochi"
132,"Stronghold Games, Pegasus Spiele, Hexagames (I), Low-Exp Publisher"
133,Schmidt Spiele
134,"Lautapelit.fi, Historien Spiele Galerie (Historien Spielegalerie), Goldsieber Spiele, Ferti, Low-Exp Publisher"
135,ABACUSSPIELE
136,"Rio Grande Games, AMIGO, DiceTree Games, Doris & Frank"
137,"AMIGO, G3"
138,Winsome Games
139,"Moskito Spiele, New Games Order, LLC"
140,"Ravensburger, Otto Maier Verlag"
141,Mayfair Games
142,"Grow Jogos e Brinquedos, TSR, Steve Jackson Games"
143,"Milton Bradley, Schmidt Spiele, Mattel, Hasbro, Canada Games, Parker Brothers, Tactic, Casper, Drumond Park Ltd., Popular de Juguetes, Target Games, The Game Works, Inc., The Games Gang, LTD, Ventura Games, Western Publishing Company, Low-Exp Publisher"
144,Cheapass Games
145,"Alga, Waddingtons, franjos Spieleverlag, Clipper, Parker Brothers, Capiépa - Jeux Éducatifs"
146,"Devir, Sphinx Spieleverlag, Low-Exp Publisher"
